weight,description,dueDate,assignedDate,title
38.64,"Excision of Left Knee Tendon, Percutaneous Endoscopic Approach, Diagnostic",04.09.2020,30.03.2020,Sub-Ex
79.22,"Drainage of Perineum Subcutaneous Tissue and Fascia, Open Approach",22.12.2020,03.09.2020,Greenlam
72.26,"Replacement of Portal Vein with Autologous Tissue Substitute, Open Approach",04.03.2021,14.01.2020,Aerified
96.42,"Extirpation of Matter from Cerebral Meninges, Percutaneous Endoscopic Approach",07.09.2020,17.10.2019,Trippledex
2.61,"Reattachment of Left Diaphragm, Open Approach",18.12.2020,24.06.2020,Cardguard
30.14,"Drainage of Right Trunk Muscle, Open Approach",28.03.2021,02.02.2020,Tampflex
40.47,Beam Radiation of Buttock Skin using Neutrons,19.06.2019,18.01.2021,Biodex
64.75,"Extirpation of Matter from Perineum Tendon, Percutaneous Endoscopic Approach",18.03.2020,01.03.2021,Zontrax
97.15,"Insertion of Feeding Device into Ileum, Via Natural or Artificial Opening Endoscopic",05.05.2021,20.01.2020,Bamity
52.11,"Bypass Right Common Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Open Approach",26.10.2019,25.06.2020,Fixflex
43.36,"Replacement of Left Thorax Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",27.08.2019,14.03.2020,Konklux
5.79,"Inspection of Mouth and Throat, Percutaneous Endoscopic Approach",08.03.2020,15.03.2021,Mat Lam Tam
81.94,"Excision of Right Renal Vein, Open Approach",12.04.2020,26.01.2020,Bitchip
91.09,"Dilation of Superior Mesenteric Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach",03.06.2020,11.12.2019,Toughjoyfax
22.79,Fluoroscopy of Lumbar Spine using High Osmolar Contrast,10.03.2020,30.12.2020,Voyatouch
59.78,"Dilation of Cervix with Intraluminal Device, Percutaneous Endoscopic Approach",23.09.2020,30.05.2020,Bamity
23.27,"Reposition Thoracolumbar Vertebral Joint, Open Approach",21.07.2019,11.04.2020,Cardify
86.5,"Extirpation of Matter from Thoracic Duct, Percutaneous Endoscopic Approach",08.11.2019,29.10.2019,Tin
30.09,Neuromotor Development Assessment of Neurological System - Head and Neck using Other Equipment,19.10.2019,07.04.2021,Prodder
61.24,"Removal of Synthetic Substitute from Left Humeral Shaft, Open Approach",22.10.2020,27.06.2020,Tempsoft
